395,浅,shallow
396,止,stop
397,歩,walk
398,渉,ford
399,頻,repeatedly
400,肯,agreement 
401,企,undertake
402,歴,curriculum 
403,武,warrior
404,賦,levy
405,正,correct
406,証,evidence
407,政,politics
408,定,determine
409,錠,lock 
410,走,run 
411,超,transcend
412,赴,proceed
413,越,surpass
414,是,just so
415,題,topic
416,堤,dike
417,建,build 
418,鍵,key
419,延,prolong
420,誕,nativity
421,礎,cornerstone
422,婿,bridegroom 
423,衣,garment
424,裁,tailor
425,装,attire
426,裏,back
427,壊,demolition
428,哀,pathetic 
429,遠,distant
430,猿,monkey 
431,初,first time
432,巾,towel
433,布,linen
434,帆,sail
435,幅,hanging scroll 
436,帽,cap 
437,幕,curtain 
438,幌,canopy
439,錦,brocade
440,市,market
441,柿,persimmon
442,姉,elder sister 
443,肺,lungs
444,帯,sash
445,滞,stagnate
446,刺,thorn
447,制,system
448,製,made in
449,転,revolve
450,芸,technique
451,雨,rain 
452,雲,cloud
453,曇,cloudy weather 
454,雷,thunder 
455,霜,frost 
456,冬,winter
457,天,"heavens, sky "
458,妖,bewitched 
459,沃,irrigate
460,橋,bridge
461,嬌,attractive
462,立,stand up 
463,泣,cry 
464,章,badge
465,競,vie
466,帝,sovereign
467,諦,renunciation
468,童,juvenile 
469,瞳,pupil (of eye) 
470,鐘,bell
471,商,make a deal
472,嫡,legitimate wife
473,適,suitable 
474,滴,drip
475,敵,enemy 
476,匕,spoon 
477,叱,scold
478,匂,fragrant
479,頃,about that time
480,北,north 
481,背,stature
482,比,compare
483,昆,descendants
484,皆,all
485,楷,block letter
486,諧,orderliness
487,混,mix
488,渇,thirst
489,謁,audience (with king) 
490,褐,brown
491,喝,hoarse
492,葛,kudzu
493,旨,delicious
494,脂,fat
495,詣,visit a shrine
496,壱,One (roman number)
497,毎,Every 
498,敏,cleverness
499,梅,plum
500,海,sea
501,乞,beg
